%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
156560000000,4690,156560000000,odom,base_footprint,-0.568291964266,0.91238043638,-0.00100726515946,0.00132738461476,0.000875760147812,-0.83649062278,0.547978931251,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.246586896786,-7.84085981187e-05,0.0,0.0,0.0,0.0942852387126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156593000000,4691,156593000000,odom,base_footprint,-0.571523024968,0.904933899781,-0.00100826974091,0.0013295082035,0.000876331248752,-0.835633950224,0.549284412381,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.245273685933,-3.1294808287e-06,0.0,0.0,0.0,0.0951317663399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156627000000,4692,156627000000,odom,base_footprint,-0.574752133881,0.897443785099,-0.0010082844983,0.0013287748524,0.000877784934939,-0.83486298807,0.550455497748,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.233731338681,-0.000139414743573,0.0,0.0,0.0,0.0723781976065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156660000000,4693,156660000000,odom,base_footprint,-0.577751899793,0.890420790376,-0.00100814647964,0.0013265955162,0.00088002127181,-0.834098545413,0.551613163591,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.231168180783,-1.94052138474e-05,0.0,0.0,0.0,0.0860177266978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156693000000,4694,156693000000,odom,base_footprint,-0.580729183399,0.883394892757,-0.00100785414948,0.00132470910297,0.000881217372397,-0.833314767222,0.552796497213,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.231246608307,-1.83740698765e-05,0.0,0.0,0.0,0.0860089985245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156727000000,4695,156727000000,odom,base_footprint,-0.583776662089,0.87614527315,-0.0010076131787,0.00132293297319,0.000882562206893,-0.832505799831,0.554014046916,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.231324787129,-1.86388398496e-05,0.0,0.0,0.0,0.0859881190511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156760000000,4696,156760000000,odom,base_footprint,-0.586693425538,0.869147883012,-0.00100747450955,0.00132127906628,0.000884274153046,-0.83164681382,0.555302664629,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.229715052451,-2.03851105981e-05,0.0,0.0,0.0,0.094076512248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156793000000,4697,156793000000,odom,base_footprint,-0.589588912651,0.862140353212,-0.00100742299922,0.00131982328949,0.000886169455192,-0.830784121312,0.556592504931,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.229806223179,-2.03366386519e-05,0.0,0.0,0.0,0.0940622872891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156827000000,4698,156827000000,odom,base_footprint,-0.592550513706,0.854908370137,-0.00100745884303,0.00131855003264,0.000888272073641,-0.829893438424,0.557919665597,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.229901643496,-2.0682644842e-05,0.0,0.0,0.0,0.0940517131221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156860000000,4699,156860000000,odom,base_footprint,-0.595246221577,0.848268758089,-0.00100720148191,0.0013166514605,0.000890317247799,-0.82927627413,0.558836590542,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.208143499922,1.13743115516e-05,0.0,0.0,0.0,0.0124020742881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156893000000,4700,156893000000,odom,base_footprint,-0.597880141746,0.841747803918,-0.00100768906656,0.00131711041544,0.000891681228188,-0.82862747385,0.559798159792,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.215228938717,-1.8311018543e-05,0.0,0.0,0.0,0.0856270117141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156927000000,4701,156927000000,odom,base_footprint,-0.600602093418,0.834954646316,-0.00100796160558,0.00131651967936,0.000894057498145,-0.827812410282,0.561002745822,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.215276824618,-1.80814252195e-05,0.0,0.0,0.0,0.0854746528614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156960000000,4702,156960000000,odom,base_footprint,-0.603108463804,0.828641057338,-0.00100726910777,0.00131244475833,0.000897950538567,-0.826972080661,0.562240739346,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.199388687627,-1.59791539183e-05,0.0,0.0,0.0,0.074246909712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156993000000,4703,156993000000,odom,base_footprint,-0.605486799663,0.822609471322,-0.00100804257625,0.00131446565604,0.000897546174635,-0.826321038409,0.56319713074,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.196326636449,-4.74867511503e-05,0.0,0.0,0.0,0.0690336760198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157027000000,4704,157027000000,odom,base_footprint,-0.607897980171,0.816454598617,-0.00100822618797,0.00131433949646,0.000898802312551,-0.825702755599,0.564103203379,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.194386358082,-4.04652087076e-05,0.0,0.0,0.0,0.0639832410691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157060000000,4705,157060000000,odom,base_footprint,-0.610219066436,0.810491163825,-0.001008073228,0.00131195379737,0.000901758881548,-0.825133944949,0.564934897577,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.193221647914,-4.73602421863e-07,0.0,0.0,0.0,0.0570482849164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157093000000,4706,157093000000,odom,base_footprint,-0.612520844263,0.804538231854,-0.00100832950588,0.00131211864764,0.000902535532987,-0.824516579737,0.56583555342,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.193140603099,7.60330525165e-07,0.0,0.0,0.0,0.0692405950202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157127000000,4707,157127000000,odom,base_footprint,-0.614817159912,0.798579549141,-0.00100829043827,0.001311555135,0.000903321205271,-0.824075804937,0.56647730012,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.181994018471,-0.000115365080684,0.0,0.0,0.0,0.025835228129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
