sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
186.809000000,-0.0015247,-0.00157425,-0.00100765,9.21575e-06,-0.0014944,0.00064331
186.819000000,-0.001526,-0.00157559,-0.00100765,9.21678e-06,-0.00149441,0.000643866
186.828000000,-0.0015273,-0.00157692,-0.00100765,9.21782e-06,-0.00149442,0.000644422
186.839000000,-0.0015286,-0.00157825,-0.00100765,9.21886e-06,-0.00149443,0.000644977
186.849000000,-0.0015299,-0.00157958,-0.00100765,9.21989e-06,-0.00149444,0.000645533
186.859000000,-0.0015312,-0.00158091,-0.00100765,9.22093e-06,-0.00149445,0.000646088
186.869000000,-0.0015325,-0.00158224,-0.00100765,9.22196e-06,-0.00149446,0.000646644
186.879000000,-0.0015338,-0.00158357,-0.00100765,9.223e-06,-0.00149447,0.0006472
186.889000000,-0.0015351,-0.00158491,-0.00100765,9.22404e-06,-0.00149448,0.000647755
186.899000000,-0.0015364,-0.00158624,-0.00100765,9.22507e-06,-0.00149449,0.000648311
186.909000000,-0.0015377,-0.00158757,-0.00100765,9.22611e-06,-0.0014945,0.000648867
186.919000000,-0.001539,-0.0015889,-0.00100765,9.22715e-06,-0.00149451,0.000649423
186.929000000,-0.0015403,-0.00159023,-0.00100765,9.22818e-06,-0.00149452,0.000649978
186.939000000,-0.0015416,-0.00159156,-0.00100765,9.22922e-06,-0.00149453,0.000650534
186.949000000,-0.0015429,-0.00159289,-0.00100765,9.23026e-06,-0.00149454,0.00065109
186.959000000,-0.0015442,-0.00159423,-0.00100765,9.23129e-06,-0.00149454,0.000651646
186.969000000,-0.0015455,-0.00159556,-0.00100765,9.23233e-06,-0.00149455,0.000652202
186.979000000,-0.0015468,-0.00159689,-0.00100765,9.23337e-06,-0.00149456,0.000652758
186.988000000,-0.0015481,-0.00159822,-0.00100765,9.2344e-06,-0.00149457,0.000653314
186.999000000,-0.0015494,-0.00159955,-0.00100765,9.23544e-06,-0.00149458,0.00065387
187.009000000,-0.0015507,-0.00160088,-0.00100765,9.23648e-06,-0.00149459,0.000654426
187.019000000,-0.001552,-0.00160221,-0.00100765,9.23752e-06,-0.0014946,0.000654982
187.029000000,-0.0015533,-0.00160354,-0.00100765,9.23855e-06,-0.00149461,0.000655538
187.039000000,-0.0015546,-0.00160488,-0.00100765,9.23959e-06,-0.00149462,0.000656094
187.049000000,-0.0015559,-0.00160621,-0.00100765,9.24063e-06,-0.00149463,0.00065665
187.059000000,-0.0015572,-0.00160754,-0.00100765,9.24167e-06,-0.00149464,0.000657206
187.069000000,-0.0015585,-0.00160887,-0.00100765,9.2427e-06,-0.00149465,0.000657762
187.079000000,-0.0015598,-0.0016102,-0.00100765,9.24374e-06,-0.00149466,0.000658318
187.089000000,-0.0015611,-0.00161153,-0.00100765,9.24478e-06,-0.00149467,0.000658874
187.099000000,-0.0015624,-0.00161286,-0.00100765,9.24582e-06,-0.00149468,0.000659431
187.109000000,-0.0015637,-0.0016142,-0.00100765,9.24685e-06,-0.00149469,0.000659987
187.119000000,-0.001565,-0.00161553,-0.00100765,9.24789e-06,-0.0014947,0.000660543
187.129000000,-0.0015663,-0.00161686,-0.00100765,9.24893e-06,-0.00149471,0.000661099
187.139000000,-0.0015676,-0.00161819,-0.00100765,9.24997e-06,-0.00149472,0.000661656
187.149000000,-0.0015689,-0.00161952,-0.00100765,9.251e-06,-0.00149473,0.000662212
187.159000000,-0.0015702,-0.00162085,-0.00100765,9.25204e-06,-0.00149474,0.000662768
187.169000000,-0.0015715,-0.00162218,-0.00100765,9.25308e-06,-0.00149475,0.000663325
187.178000000,-0.0015728,-0.00162352,-0.00100765,9.25412e-06,-0.00149476,0.000663881
187.189000000,-0.0015741,-0.00162485,-0.00100765,9.25516e-06,-0.00149477,0.000664438
187.199000000,-0.0015754,-0.00162618,-0.00100765,9.25619e-06,-0.00149478,0.000664994
187.209000000,-0.0015767,-0.00162751,-0.00100765,9.25723e-06,-0.00149478,0.00066555
187.219000000,-0.001578,-0.00162884,-0.00100765,9.25827e-06,-0.00149479,0.000666107
187.229000000,-0.0015793,-0.00163017,-0.00100765,9.25931e-06,-0.0014948,0.000666663
187.239000000,-0.0015806,-0.0016315,-0.00100765,9.26035e-06,-0.00149481,0.00066722
187.249000000,-0.0015819,-0.00163284,-0.00100765,9.26139e-06,-0.00149482,0.000667777
187.259000000,-0.0015832,-0.00163417,-0.00100765,9.26243e-06,-0.00149483,0.000668333
187.269000000,-0.0015845,-0.0016355,-0.00100765,9.26346e-06,-0.00149484,0.00066889
187.279000000,-0.0015858,-0.00163683,-0.00100765,9.2645e-06,-0.00149485,0.000669446
187.289000000,-0.0015871,-0.00163816,-0.00100765,9.26554e-06,-0.00149486,0.000670003
187.299000000,-0.0015884,-0.00163949,-0.00100765,9.26658e-06,-0.00149487,0.00067056
187.309000000,-0.0015897,-0.00164083,-0.00100765,9.26762e-06,-0.00149488,0.000671117
187.319000000,-0.001591,-0.00164216,-0.00100765,9.26866e-06,-0.00149489,0.000671673
187.329000000,-0.0015923,-0.00164349,-0.00100765,9.2697e-06,-0.0014949,0.00067223
187.339000000,-0.0015936,-0.00164482,-0.00100765,9.27074e-06,-0.00149491,0.000672787
187.350000000,-0.0015949,-0.00164615,-0.00100765,9.27178e-06,-0.00149492,0.000673344
187.358000000,-0.0015962,-0.00164748,-0.00100765,9.27281e-06,-0.00149493,0.000673901
187.369000000,-0.0015975,-0.00164881,-0.00100765,9.27385e-06,-0.00149494,0.000674457
187.379000000,-0.0015988,-0.00165015,-0.00100765,9.27489e-06,-0.00149495,0.000675014
187.389000000,-0.0016001,-0.00165148,-0.00100765,9.27593e-06,-0.00149496,0.000675571
187.399000000,-0.0016014,-0.00165281,-0.00100765,9.27697e-06,-0.00149497,0.000676128
187.409000000,-0.0016027,-0.00165414,-0.00100765,9.27801e-06,-0.00149498,0.000676685
187.418000000,-0.001604,-0.00165547,-0.00100765,9.27905e-06,-0.00149499,0.000677242
187.428000000,-0.0016053,-0.0016568,-0.00100765,9.28009e-06,-0.001495,0.000677799
187.439000000,-0.0016066,-0.00165813,-0.00100765,9.28113e-06,-0.00149501,0.000678356
187.449000000,-0.00160791,-0.00165947,-0.00100765,9.28217e-06,-0.00149502,0.000678913
187.459000000,-0.00160921,-0.0016608,-0.00100765,9.28321e-06,-0.00149503,0.00067947
187.469000000,-0.00161051,-0.00166213,-0.00100765,9.28425e-06,-0.00149504,0.000680027
187.479000000,-0.00161181,-0.00166346,-0.00100765,9.28529e-06,-0.00149505,0.000680585
187.489000000,-0.00161311,-0.00166479,-0.00100765,9.28633e-06,-0.00149506,0.000681142
187.499000000,-0.00161441,-0.00166612,-0.00100765,9.28737e-06,-0.00149506,0.000681699
187.509000000,-0.00161571,-0.00166746,-0.00100765,9.28841e-06,-0.00149507,0.000682256
187.519000000,-0.00161701,-0.00166879,-0.00100765,9.28945e-06,-0.00149508,0.000682813
187.529000000,-0.00161831,-0.00167012,-0.00100765,9.29049e-06,-0.00149509,0.000683371
